gen,nevals,avg,std,min,max,dead,time
0,500,      319.86,       27.70,      216.87,    4.17e+02,0,6.683373928070068
1,380,      326.56,      167.98,      216.87,    1.35e+03,0,4.884081602096558
2,403,      314.74,      185.48,      227.31,    1.32e+03,0,6.782874345779419
3,390,      301.69,      181.18,      227.03,    1.34e+03,0,5.298462152481079
4,383,      272.77,      131.54,      227.03,    1.33e+03,0,5.525705814361572
5,402,      247.98,       79.58,      227.03,    1.25e+03,0,5.893147945404053
6,371,      232.70,       45.81,      209.06,    1.23e+03,0,5.730629920959473
7,381,      229.00,       10.64,      209.06,    3.69e+02,0,6.3854570388793945
8,379,      230.76,       49.76,      209.06,    1.32e+03,0,7.4799416065216064
9,373,      231.49,       66.57,      209.06,    1.32e+03,0,6.968595027923584
10,398,      229.79,       52.25,      209.06,    1.36e+03,0,6.277067184448242
