iteration_time,path_cost,path,cost_function
91.32314580000002,674.9479389190674,"7201, 7002, 7203, 7404, 7205, 7206, 7207, 7008, 6809, 6610, 6411, 6612, 6613, 6814, 7015, 7216, 7415, 7615, 7814, 8013, 8212, 8413, 8614, 8815, 9015, 9214, 9415, 9614, 9813, 10013, 10214, 10413, 10612, 10812, 11013, 11214, 11415, 11614, 11814, 12014, 12213, 12412, 12611, 12811, 13012, 13213, 13412, 13613, 13814, 14013, 14214, 14413, 14614, 14815, 15015, 15216, 15415, 15614, 15815, 16014, 16214, 16414, 16615, 16816, 17015, 17214, 17413, 17612, 17811",0
119.4198793000005,1826.4726552963257,"28710, 28510, 28309, 28108, 27909, 27710, 27711, 27512, 27313, 27112, 26913, 26714, 26513, 26512, 26311, 26110, 25909, 25709, 25509, 25308, 25108, 24909, 24708, 24507, 24306, 24107, 23907, 23706, 23505, 23304, 23503, 23702, 23901, 23700, 23499, 23298, 23097, 23096, 22895, 22894, 22893, 22692, 22492, 22292, 22091, 22090, 21889, 21888, 22087, 21886, 21685, 21484, 21283, 21282, 21281, 21480, 21479, 21278, 21477, 21276, 21075, 20874, 20673, 20474, 20273, 20073, 19873, 19672, 19472, 19273, 19072, 18871, 18670, 18669, 18668, 18467, 18466, 18265, 18064, 17864, 17663, 17462, 17262, 17061, 16862, 16662, 16461, 16260, 16259, 16258, 16057, 15856, 15655, 15455, 15254, 15453, 15252, 15051, 14852, 14651, 14450, 14249, 14448, 14247, 14046, 13846, 13647, 13446, 13445, 13244, 13044, 12845, 12644, 12643, 12442, 12242, 12043, 11842, 11643, 11443, 11244, 11044, 10845, 10646, 10447, 10247, 10046, 10045, 10244, 10443, 10242, 10241, 10040, 9840, 9639, 9838, 9837, 10036, 10237, 10437, 10636, 10635, 10434, 10234, 10035, 9835, 9635, 9435, 9234, 9033, 9032, 9231, 9431, 9630, 9829, 10028, 10027, 9826, 10025, 10224, 10425, 10624, 10823, 11023, 11222, 11423, 11624, 11825, 12024, 12223, 12423, 12622, 12821, 13020, 13019, 13018, 12817, 12616, 12417, 12217, 12017, 11817, 11616, 11415, 11214",1
88.8226552999995,532.128743648529,"11214, 11015, 10815, 10616, 10416, 10217, 10017, 9818, 9819, 9620, 9420, 9221, 9020, 8819, 8618, 8418, 8218, 8019, 7820, 7621, 7422, 7221, 7020, 6819, 6618, 6417, 6218, 6019, 5820, 5619, 5419, 5220, 5020, 4819, 4618, 4417, 4216, 4017, 3817, 3616, 3415, 3214, 3013, 2812, 2611, 2410, 2211, 2010, 1809, 1610, 1409, 1209, 1008, 807, 606",2
89.52930839999954,1181.2240467071533,"23774, 23575, 23376, 23177, 22978, 22779, 22780, 22581, 22380, 22179, 21978, 21777, 21578, 21377, 21177, 20976, 20776, 20576, 20377, 20176, 19976, 19777, 19577, 19376, 19375, 19174, 19173, 18972, 18773, 18574, 18373, 18173, 18174, 17975, 17775, 17576, 17377, 17176, 16976, 16775, 16575, 16376, 16176, 15975, 15775, 15575, 15376, 15177, 14976, 14775, 14576, 14375, 14174, 13974, 13774, 13574, 13373, 13173, 12972, 12772, 12571, 12570, 12369, 12568, 12367, 12166, 12165, 11964, 11963, 11762, 11961, 12161, 12360, 12359, 12158, 12357, 12556, 12755, 12954, 12953, 12952, 12751, 12550, 12349, 12148, 11947, 11747, 11546, 11545, 11344, 11143, 10942, 10941, 10740, 10939, 10738, 10737, 10536, 10336, 10136, 9937, 9938, 9939, 9740, 9539, 9339, 9140, 8940, 8739, 8538, 8537, 8736, 8535, 8334, 8133, 8132, 8331, 8130, 7929, 7928",3
134.91408589999992,1677.6948175430298,"11214, 11413, 11612, 11813, 12014, 11815, 12016, 12217, 12417, 12618, 12619, 12820, 13021, 13220, 13419, 13620, 13821, 14022, 14221, 14422, 14623, 14822, 15022, 15223, 15424, 15623, 15824, 16024, 16225, 16426, 16227, 16028, 16229, 16429, 16630, 16631, 16832, 17033, 17233, 17433, 17632, 17833, 18032, 18233, 18432, 18631, 18832, 19032, 19233, 19034, 18835, 18636, 18837, 18638, 18439, 18240, 18440, 18641, 18841, 19042, 18843, 18644, 18645, 18446, 18447, 18648, 18649, 18850, 19051, 19250, 19449, 19648, 19849, 19850, 20051, 20252, 20453, 20654, 20855, 20656, 20456, 20257, 20057, 19858, 19859, 20060, 20261, 20462, 20663, 20664, 20865, 20866, 20867, 20668, 20469, 20670, 20871, 21072, 21273, 21474, 21674, 21875, 22076, 22277, 22478, 22679, 22480, 22280, 22081, 21882, 22083, 21884, 22085, 22286, 22486, 22685, 22885, 23086, 23287, 23488, 23689, 23888, 24089, 24288, 24487, 24688, 24689, 24890, 25091, 25292, 25492, 25692, 25892, 26092, 26293, 26494, 26694, 26895, 27096, 27297, 27098, 27299, 27499, 27698, 27898, 28099, 28300, 28101, 27902, 27703, 27904, 27905, 28106, 28305, 28505, 28706, 28907, 29108, 29309, 29510, 29511, 29712, 29913, 30113, 30314, 30515, 30516, 30717, 30917, 31118",4
130.6185921999995,2292.89844417572,"11214, 11014, 10815, 10616, 10417, 10218, 10419, 10620, 10821, 11022, 11221, 11422, 11623, 11824, 12024, 12224, 12425, 12426, 12427, 12628, 12829, 12830, 13031, 13232, 13433, 13434, 13235, 13036, 12836, 12637, 12638, 12839, 12640, 12441, 12642, 12843, 12844, 12645, 12646, 12847, 13048, 13249, 13450, 13251, 13452, 13453, 13254, 13055, 12856, 12657, 12458, 12459, 12660, 12860, 13060, 13261, 13460, 13661, 13662, 13663, 13464, 13265, 13066, 12867, 12868, 12669, 12870, 12671, 12872, 13073, 12874, 12674, 12474, 12275, 12076, 11877, 11678, 11478, 11279, 11280, 11081, 10881, 10882, 11083, 11282, 11483, 11684, 11885, 12084, 12284, 12483, 12684, 12883, 13084, 13285, 13486, 13686, 13885, 14084, 14283, 14482, 14682, 14883, 14684, 14885, 15086, 15286, 15486, 15687, 15886, 16087, 16288, 16089, 15890, 16091, 16292, 16493, 16694, 16895, 17096, 17297, 17498, 17698, 17898, 18099, 17900, 17901, 17902, 17903, 18104, 18304, 18504, 18705, 18906, 18707, 18508, 18709, 18909, 19110, 19111, 19312, 19313, 19114, 18914, 18713, 18514, 18315, 18516, 18317, 18118, 17919, 17719, 17520, 17319, 17119, 16920, 16921, 17122, 17323, 17124, 16925, 17126, 17326, 17527, 17528, 17729, 17530, 17331, 17132, 17133, 17334, 17335, 17336, 17137, 16938, 17139, 17340, 17541, 17742, 17942, 18143, 18144, 18145, 17946, 18147, 18348, 18549, 18749, 18950, 19151, 19351, 19550, 19751, 19951, 20151, 20352, 20551, 20752, 20952, 21153, 21352, 21551, 21750, 21949, 22150, 22151, 22152, 22353, 22154, 21955, 21756, 21957, 22158, 22159, 22360, 22161, 21962, 22163, 22164, 21965, 21966, 22167, 22368, 22569, 22770, 22969, 23170, 23371, 23571, 23772, 23773, 23774",5
137.8884404999999,1926.2451457977295,"35714, 35513, 35512, 35711, 35910, 35709, 35908, 36108, 36308, 36509, 36310, 36511, 36312, 36513, 36714, 36515, 36316, 36317, 36118, 36119, 35920, 35721, 35521, 35321, 35122, 34923, 34724, 34523, 34324, 34124, 33925, 33726, 33526, 33325, 33125, 32925, 32726, 32526, 32326, 32127, 31928, 31728, 31529, 31530, 31331, 31131, 30932, 30733, 30734, 30735, 30536, 30335, 30136, 29937, 29736, 29735, 29534, 29333, 29132, 28932, 28732, 28533, 28332, 28331, 28130, 27931, 27732, 27533, 27734, 27735, 27736, 27537, 27338, 27138, 26939, 27140, 26941, 26742, 26543, 26342, 26142, 25941, 25741, 25541, 25342, 25343, 25144, 24945, 24745, 24544, 24345, 24145, 23945, 23746, 23546, 23346, 23146, 22947, 22747, 22546, 22345, 22145, 21944, 21744, 21543, 21542, 21341, 21140, 20941, 20741, 20540, 20339, 20138, 19937, 19936, 19935, 19734, 19535, 19335, 19134, 19133, 19132, 18931, 18730, 18530, 18331, 18132, 17931, 17730, 17529, 17328, 17127, 16926, 16925, 17124, 17123, 16922, 16721, 16920, 17119, 17318, 17317, 17116, 16916, 16715, 16516, 16315, 16314, 16113, 15912, 15712, 15511, 15311, 15110, 14911, 14710, 14709, 14708, 14907, 15107, 15306, 15105, 14904, 14704, 14503, 14302, 14501, 14700, 14499, 14298, 14097, 13896, 13895, 13694, 13494, 13294, 13094, 12893, 13092, 13091, 12890, 12690, 12490, 12291, 12090, 11889, 11888, 12087, 12086, 11885, 11684, 11483, 11283, 11082, 10881",6
134.92722929999945,1746.9927034378052,"5749, 5548, 5747, 5546, 5345, 5544, 5343, 5542, 5741, 5942, 6141, 6341, 6541, 6740, 6939, 6938, 6737, 6536, 6335, 6534, 6533, 6332, 6531, 6730, 6729, 6928, 7129, 7328, 7327, 7326, 7125, 6924, 6923, 6922, 7121, 7320, 7519, 7718, 7917, 8117, 7916, 8115, 8314, 8513, 8712, 8911, 8910, 9109, 9309, 9508, 9707, 9907, 10106, 10305, 10104, 10103, 9902, 9701, 9700, 9499, 9298, 9497, 9696, 9695, 9494, 9693, 9492, 9491, 9690, 9489, 9688, 9887, 9686, 9685, 9884, 9683, 9682, 9481, 9280, 9279, 9478, 9678, 9878, 10077, 10278, 10477, 10676, 10475, 10474, 10673, 10872, 10871, 10870, 11069, 11268, 11067, 11266, 11065, 10865, 10666, 10467, 10266, 10265, 10064, 9863, 9663, 9462, 9661, 9460, 9259, 9058, 8857, 8656, 8455, 8454, 8253, 8252, 8051, 7850, 8049, 8248, 8449, 8648, 8847, 9046, 9246, 9445, 9244, 9243, 9042, 9041, 9240, 9239, 9038, 9037, 8836, 8636, 8435, 8434, 8233, 8033, 7832, 7631, 7830, 7629, 7428, 7427, 7626, 7825, 8024, 8023, 7822, 7621, 7420, 7419, 7618, 7817, 8017, 8216, 8215, 8414, 8614, 8814, 9013, 9214, 9415, 9615, 9816, 10017, 9818, 10019, 10219, 10418, 10617, 10816, 11015, 11214",7
80.99270940000042,694.793719291687,"17811, 17611, 17411, 17212, 17013, 16814, 16613, 16413, 16214, 16015, 15816, 15617, 15418, 15219, 15020, 14819, 14618, 14417, 14216, 14016, 13815, 13614, 13415, 13215, 13014, 12813, 12612, 12611, 12410, 12209, 12010, 11811, 11812, 11613, 11413, 11214, 11015, 10814, 10613, 10414, 10215, 10014, 9814, 9613, 9414, 9214, 9015, 8816, 8617, 8416, 8217, 8016, 7816, 7615, 7415, 7216, 7015, 7214, 7413, 7212, 7011, 7210, 7409, 7408, 7607, 7406, 7205, 7004, 7003, 7202, 7201",8
125.77619159999995,1598.244158744812,"28710, 28510, 28309, 28108, 27907, 27706, 27506, 27307, 27106, 26905, 26706, 26505, 26305, 26106, 25905, 25704, 25503, 25302, 25301, 25500, 25499, 25298, 25097, 25296, 25495, 25294, 25293, 25092, 24891, 24690, 24491, 24292, 24091, 23890, 23691, 23692, 23493, 23292, 23092, 22893, 22693, 22492, 22293, 22092, 21891, 21690, 21889, 21888, 21687, 21486, 21685, 21484, 21283, 21082, 20881, 20680, 20679, 20478, 20277, 20076, 19875, 19674, 19473, 19672, 19671, 19470, 19270, 19071, 18870, 18669, 18468, 18267, 18066, 17865, 17864, 18063, 17862, 17662, 17463, 17262, 17061, 16862, 16662, 16461, 16260, 16061, 15860, 15659, 15460, 15461, 15262, 15063, 14862, 14663, 14464, 14265, 14064, 13863, 13663, 13463, 13262, 13061, 12860, 12859, 12858, 12657, 12456, 12255, 12054, 11853, 11652, 11451, 11450, 11249, 11048, 10848, 10647, 10447, 10246, 10445, 10644, 10443, 10242, 10441, 10240, 10439, 10639, 10840, 11041, 11241, 11441, 11640, 11639, 11838, 12037, 12036, 12035, 11834, 12033, 12233, 12432, 12631, 12430, 12429, 12228, 12028, 11828, 11627, 11426, 11225, 11024, 11223, 11022, 10821, 10620, 10420, 10219, 10418, 10617, 10816, 11015, 11214",9
