gen,nevals,avg,std,min,max,dead,time
0,3500,562003.8135172141,23502820.366898675,87.85003131131332,1000000000.0,2,20.822383403778076
1,2698,196.73945751087285,302.8447642411452,87.85003131131332,1103.4448902845384,0,17.516541957855225
2,2738,196.14563061891062,306.9627845258531,87.85003131131332,1103.4506121069194,0,17.839452266693115
3,2730,206.7060896601359,322.42673523378227,87.70656957228978,1107.018107337753,0,17.60282588005066
4,2696,205.68905956822107,321.5124933462192,87.70656957228978,1106.997358554105,0,17.815407037734985
5,2676,214.94355037832918,332.44410918188083,87.70656957228978,1107.018107337753,0,18.778210401535034
6,2763,217.1260508426482,334.8152069661272,87.70656957228978,1107.018107337753,0,18.02289366722107
7,2692,223.81069591248126,342.129005529805,87.70656957228978,1106.997358554105,0,16.56846857070923
8,2670,226.33394219513497,345.0465056755836,87.69814627021552,1107.0206252783537,0,17.072221279144287
9,2722,234.1976864002905,353.11442452746286,87.65765267064174,1107.0206252783537,0,17.709256410598755
10,2706,248.3107029364059,366.6887038807242,87.67995367447536,1107.0206252783537,0,16.102669715881348
11,2717,262.08664299777035,379.29868187337075,87.68168535331885,1107.0223081335425,0,16.313581943511963
12,2698,257.20798254942963,374.6287889517701,87.67438998222352,1107.0223081335425,0,16.15355396270752
13,2708,254.51519811579425,372.1639831753109,87.67438998222352,1107.0223081335425,0,16.383322954177856
14,2645,254.3747393844898,372.19866820877127,87.6622733225425,1107.0223081335425,0,16.757643222808838
15,2668,259.4552382174707,376.8525125601948,87.6622733225425,1107.0209272483985,0,16.47308087348938
16,2698,259.4443169766477,376.8462652070665,87.6622733225425,1107.0223081335425,0,17.238799810409546
17,2732,260.2453129939631,377.730686863101,87.6622733225425,1107.0209272483985,0,16.4194552898407
18,2733,259.641220926032,377.42790736016826,87.6622733225425,1107.0209272483985,0,16.957679986953735
19,2732,263.6296292251507,380.8486586929682,87.6622733225425,1107.0209272483985,0,17.39467430114746
20,2666,268.0336363404402,384.67887828558486,87.6622733225425,1107.0209265639385,0,16.006023168563843
21,2667,249.41605698014712,368.18275999868655,87.6622733225425,1107.0209272483985,0,16.565186977386475
22,2734,249.1238703346315,367.9524765932842,87.6622733225425,1107.0206252783537,0,17.033798694610596
23,2629,231.36673771663348,350.1057228128488,87.6622733225425,1107.0206252783537,0,15.831331014633179
24,2640,237.2240355342246,355.9677248845027,87.6622733225425,1107.0209272483985,0,16.668059587478638
25,2730,242.5928094222723,361.26208061458334,87.6622733225425,1107.0223088180026,0,17.074185371398926
26,2746,215.85815181577917,333.220483634078,87.6622733225425,1107.0206252783537,0,16.880362510681152
27,2747,215.81886029635058,333.01604279752644,87.6622733225425,1107.0206252783537,0,16.828046560287476
28,2703,211.04199600965453,327.246175429938,87.6622733225425,1107.0150332371393,0,16.115598440170288
29,2674,204.08558893346103,318.76948412122107,87.64371966173252,1103.2637394060691,0,15.758113145828247
30,2720,215.7926462858897,332.46995815735266,87.64371966173252,1103.4216187179088,0,15.998507976531982
31,2749,216.6352346583647,333.31444335845765,87.64371966173252,1103.1296144877872,0,16.97919988632202
32,2698,222.09982032768525,339.2297120702167,87.64371966173252,1103.2617001434166,0,16.223225831985474
33,2677,228.58270951355328,346.39813585294604,87.64371966173252,1103.2617001434166,0,16.198412895202637
34,2738,214.6706067262316,331.040701903121,87.64371966173252,1100.7028981660803,0,16.262975215911865
35,2712,220.08716692938603,337.3211619768989,87.64371966173252,1103.2617001434166,0,16.106868267059326
36,2734,227.26139700257366,344.9490759894391,87.64371966173252,1107.0206245938937,0,16.700915575027466
37,2761,217.8904846266227,334.74930404195135,87.64371966173252,1100.7080911849937,0,16.724302530288696
38,2688,224.383220505571,342.1468090072416,87.64371966173252,1107.0206245938937,0,17.159419059753418
39,2719,224.93258041129596,342.5190068192406,87.64371966173252,1107.0206245938937,0,17.303797483444214
40,2722,214.6505440113658,331.2980925681802,87.64371966173252,1107.0206252783537,0,16.91956615447998
41,2739,234.13216029885885,352.2454370005065,87.64371966173252,1107.018107337753,0,17.40273427963257
42,2662,242.2146406324394,360.0686821730049,87.64371966173252,1107.0206252783537,0,17.620338678359985
43,2744,232.77177739904155,350.7181501249672,87.64371966173252,1107.0206252783537,0,16.686421632766724
44,2712,236.8963376785812,354.9943666614433,87.64362987478574,1107.0206252783537,0,16.98097062110901
45,2665,240.86826303977148,359.0735719671967,87.64362987478574,1107.0206252783537,0,16.836263179779053
46,2787,244.61515578846164,362.3080722800869,87.64362987478574,1107.0206252783537,0,16.910125494003296
47,2687,237.9647734106877,356.0477852605709,87.64362987478574,1107.0206252783537,0,16.349953413009644
48,2734,237.75628412255094,355.88765222384177,87.64362987478574,1107.0206252783537,0,16.669533491134644
49,2643,230.40353501252844,348.59825986922135,87.64362987478574,1107.0206252783537,0,16.726150274276733
50,2706,234.0209655607313,352.0364582073424,87.64362987478574,1107.0206252783537,0,17.142181396484375
51,2730,238.43903746462493,356.77188804399617,87.64362987478574,1107.0206252783537,0,17.86816644668579
52,2795,238.21407762355224,356.24391562723855,87.64362987478574,1107.0206252783537,0,18.206592321395874
53,2725,225.70832268529392,343.36337919525323,87.64362987478574,1107.0206252783537,0,17.85912799835205
54,2692,222.18963416050406,339.8697188593309,87.64362987478574,1107.0206252783537,0,16.591362237930298
55,2736,223.968920421479,341.7851262980376,87.64362987478574,1107.0385767112175,0,16.5739963054657
56,2710,207.87583505840178,323.4206657870751,87.64362987478574,1107.0402024303874,0,16.53022837638855
57,2681,202.02169880228897,316.594079579917,87.64362987478574,1107.0402024303874,0,16.44120717048645
58,2768,190.77745727520542,302.43843648157707,87.64362987478574,1107.0402024303874,0,17.14069128036499
59,2744,186.21462169456169,296.02436617540155,87.64362987478574,1107.0402024303874,0,18.105802297592163
60,2712,208.7353889650287,324.44236491415336,87.64362987478574,1107.0402024303874,0,16.78699517250061
61,2764,205.2406182185504,320.1570070251619,87.64362987478574,1107.0402024303874,0,17.23375368118286
62,2730,203.78072625960655,318.6537920688844,87.64362987478574,1107.0402024303874,0,16.938287258148193
63,2702,205.40488275082353,320.57554035805657,87.64362987478574,1107.0402024303874,0,16.47714138031006
64,2721,213.03154406536962,329.3313851367371,87.64362987478574,1107.0402024303874,0,17.135051012039185
65,2720,216.0651836805123,332.85028088962946,87.64362987478574,1107.0402024303874,0,16.64881706237793
66,2713,222.2125847613264,339.8175455782373,87.64362987478574,1107.0402024303874,0,16.567914485931396
67,2727,226.6667040224801,344.2523847077433,87.64362987478574,1107.0402024303874,0,16.734656810760498
68,2725,237.34971026557076,355.6219870067036,87.64362987478574,1107.0402024303874,0,16.754139184951782
69,2676,241.29408080011567,359.4482334146318,87.64362987478574,1107.0402024303874,0,16.614970445632935
70,2725,223.51735949663907,341.1361591957823,87.64362987478574,1107.0402024303874,0,17.456918478012085
71,2671,221.812212654064,339.3087160160757,87.64362987478574,1107.0402024303874,0,16.39199686050415
72,2777,242.56205741149273,360.52917093705355,87.64362987478574,1107.0402024303874,0,16.985169649124146
73,2721,230.34293436138705,348.3657931125654,87.64362987478574,1107.0402024303874,0,17.224294424057007
74,2649,236.79660039280412,354.8965302478852,87.64356073935826,1107.0402024303874,0,16.558305740356445
75,2711,241.14461311200535,359.18554257546583,87.64356073935826,1107.0402024303874,0,16.48126196861267
76,2713,235.0198165075277,353.0578254261471,87.64181851545969,1107.0402024303874,0,17.7174232006073
77,2731,230.52092349200987,348.4978276349939,87.64181851545969,1107.018107337753,0,17.66410183906555
78,2759,243.01804748758934,360.97127590570403,87.64181851545969,1107.0402024303874,0,17.30208158493042
79,2746,248.14330879032485,365.74647235451243,87.64181851545969,1107.0402024303874,0,17.499865531921387
80,2691,253.21657877552948,370.60806699784195,87.64181851545969,1107.0402024303874,0,16.748840808868408
81,2723,243.78378954812106,361.9040600466703,87.64181851545969,1107.0402024303874,0,17.64638876914978
82,2738,249.9787294982435,367.69735855256704,87.64181851545969,1107.0402024303874,0,17.13647747039795
83,2789,238.5799091509795,356.7394819836722,87.64181851545969,1107.0402024303874,0,18.1476993560791
84,2757,231.71494726039018,349.9423818068431,87.64181851545969,1107.018107337753,0,16.862794160842896
85,2696,227.50729899413943,345.6395081314205,87.64181851545969,1107.018107337753,0,16.434645175933838
86,2720,228.9668126719472,347.2363164561421,87.64181851545969,1103.2617001434166,0,16.700517416000366
87,2722,210.62328046666,326.76803275546575,87.64181851545969,1103.2894146164258,0,16.607573747634888
88,2668,205.54573924162145,320.8823405896478,87.64181851545969,1106.9943120628595,0,16.87646985054016
89,2749,203.11800113447944,317.7681482208664,87.64181851545969,1100.6987531661987,0,17.49269938468933
90,2667,204.93129908244552,320.2786625350498,87.64181851545969,1103.2617001434166,0,17.100757122039795
91,2721,206.76814638481903,322.2973543080811,87.64181851545969,1100.6987531661987,0,17.31138038635254
