gen,nevals,avg,std,min,max,dead,time
0,3500,99.10565716912377,7.058183449822785,87.79924420615038,173.88471666822832,0,20.849154949188232
1,2750,223.764128171629,335.2956303338258,87.79924420615038,1107.018107337753,0,15.691450595855713
2,2705,205.64043901992926,318.4014303117154,87.7989461566011,1107.018107337753,0,15.925303220748901
3,2694,209.88474305980745,326.0496910923725,87.7989461566011,1103.4448902845384,0,16.944451570510864
4,2708,210.71663288233935,327.49847938607,87.7989461566011,1107.018107337753,0,16.232320308685303
5,2721,216.86032056012328,334.6262034227673,87.7989461566011,1103.2637394060691,0,17.21468162536621
6,2737,219.34116641816175,337.0842533979598,87.7989461566011,1103.4448902845384,0,16.3468976020813
7,2686,216.73215438925914,334.2977815540794,87.77801213214795,1107.018107337753,0,16.060067653656006
8,2752,222.77557815100096,340.8909718385984,87.77801213214795,1107.018107337753,0,16.43005657196045
9,2724,217.85461694600656,335.57357679204415,87.77801213214795,1107.018107337753,0,16.59797763824463
10,2714,209.12458845900684,325.34555713517636,87.77801213214795,1103.4506121069194,0,17.2938551902771
11,2747,223.81571796653725,341.98034716082776,87.77801213214795,1103.4448902845384,0,16.38745951652527
12,2717,218.6432607567869,336.0525701092689,87.76703135371208,1103.2617001434166,0,16.523888111114502
13,2738,213.04820693172587,329.9531072354045,87.76703135371208,1103.2617421170075,0,17.365090370178223
14,2748,215.6830561088748,333.1130328365463,87.76703135371208,1103.4495684434971,0,17.19319796562195
15,2651,211.54817730338146,328.27682390382165,87.76703135371208,1103.2637394060691,0,16.279355764389038
16,2707,234.36878207876927,352.8545799885351,87.759362954398,1103.2617001434166,0,16.457706689834595
17,2737,228.07182830467576,346.30136938967667,87.703051045537,1103.2617001434166,0,16.14565110206604
18,2648,227.50958660779753,345.5872575963043,87.703051045537,1103.2617001434166,0,16.468528270721436
19,2695,216.83842705365748,333.75893914810024,87.703051045537,1103.2637394060691,0,15.761811971664429
20,2698,214.51072839370653,331.2851095972061,87.703051045537,1103.2637394060691,0,16.162340879440308
21,2680,212.18275175350405,328.49564930107675,87.703051045537,1103.2617001434166,0,15.719552516937256
22,2699,213.25998376325103,330.01696926748616,87.703051045537,1103.2637394060691,0,16.34614086151123
23,2705,223.4129088278588,341.43463013590116,87.703051045537,1103.2637394060691,0,15.949331998825073
24,2692,242.39079552451867,360.76430173854664,87.703051045537,1103.2637394060691,0,15.86667776107788
25,2727,246.5183953400104,364.719621225374,87.703051045537,1103.2617001434166,0,16.74480152130127
26,2680,250.8246492918165,368.92588489000946,87.703051045537,1101.7635429099203,0,15.723158597946167
27,2746,255.14467524680808,372.8278980776455,87.703051045537,1103.2617001434166,0,16.082114696502686
28,2736,257.4875282188044,374.75027932012097,87.703051045537,1100.6987531661987,0,16.519900798797607
29,2736,243.42585470366194,361.86668637668987,87.703051045537,1100.6987531661987,0,16.229064464569092
30,2763,249.24552815425582,367.3213645954,87.703051045537,1103.130226738751,0,15.904855251312256
31,2696,253.50614633453674,371.2773684991908,87.703051045537,1102.6341205447911,0,15.822588443756104
32,2771,259.61074904705015,376.77273306149635,87.703051045537,1103.2617001434166,0,15.975459575653076
33,2719,253.28064189614116,371.17626620229277,87.6804089849194,1103.2617001434166,0,15.51952052116394
34,2719,250.91083964067872,369.00329957382985,87.6804089849194,1100.6987531661987,0,15.763985633850098
35,2720,250.3485463397679,368.5465662015912,87.6804089849194,1100.771558253467,0,16.161426067352295
36,2743,255.43383540912583,373.2256602200329,87.6804089849194,1101.78114267538,0,16.45136570930481
37,2663,265.6839057423057,382.0626209872219,87.6804089849194,1102.723938590288,0,15.755576610565186
38,2665,254.9995174626922,372.71998892395175,87.6804089849194,1103.2617001434166,0,16.076326608657837
39,2719,249.83345549210483,367.9026911006801,87.6804089849194,1103.1294510578116,0,16.805924892425537
40,2711,258.9765032512767,376.386430516668,87.6804089849194,1103.2617001434166,0,15.523680686950684
41,2766,265.4473811026258,381.96063433382255,87.66983182181914,1100.6987531661987,0,17.449971437454224
42,2728,254.70869433916513,372.66709956825065,87.66983182181914,1103.2617001434166,0,16.764543771743774
43,2657,257.18129728812545,374.9629494446878,87.66983182181914,1100.7153250083327,0,16.1445369720459
44,2743,263.4146602514971,380.33755762985476,87.66983182181914,1103.2894146164258,0,17.0396888256073
45,2768,263.61086922168846,380.2375485372834,87.66983182181914,1103.2617001434166,0,17.188552379608154
46,2736,264.0751516331857,380.87580621923996,87.66983182181914,1107.027837373813,0,18.14018154144287
47,2698,260.47798777601935,377.85857009873575,87.66983182181914,1107.027837373813,0,16.900704383850098
48,2682,261.86125081928714,379.14751046716805,87.66983182181914,1107.027837373813,0,17.879966259002686
