gen,nevals,avg,std,min,max,dead,time
0,500,      324.11,       28.28,      228.99,    4.30e+02,0,7.21565842628479
1,401,      323.35,      167.82,      228.99,    1.36e+03,0,5.939272165298462
2,383,      295.54,      152.55,      228.99,    1.34e+03,0,5.954777240753174
3,393,      275.52,      162.40,      222.48,    1.33e+03,0,6.7565672397613525
4,365,      235.63,       69.63,      222.48,    1.33e+03,0,7.582289934158325
5,372,      229.89,       11.49,      195.47,    3.36e+02,0,8.265912532806396
6,373,      227.27,       10.35,      195.47,    3.86e+02,0,9.288691282272339
7,392,      225.75,       49.62,      195.47,    1.29e+03,0,8.345889806747437
8,373,      218.18,       17.12,      193.33,    3.80e+02,0,8.419738292694092
9,371,      206.08,       51.44,      193.33,    1.33e+03,0,9.246439456939697
10,394,      198.27,        9.16,      193.33,    2.60e+02,0,10.172013282775879
11,380,      202.87,       72.80,      193.33,    1.32e+03,0,9.32173228263855
12,367,      196.04,       10.59,      193.33,    3.20e+02,0,9.22937822341919
13,371,      195.86,       12.94,      193.33,    3.36e+02,0,8.726518869400024
14,387,      195.68,       13.00,      186.92,    3.09e+02,0,10.403573751449585
15,386,      195.79,       12.96,      181.25,    3.08e+02,0,10.180527925491333
16,370,      195.16,       11.96,      172.38,    3.08e+02,0,9.872956275939941
17,389,      196.04,       50.59,      161.21,    1.29e+03,0,11.053624391555786
18,385,      190.77,       15.47,      161.21,    3.22e+02,0,10.827176809310913
19,400,      182.62,       15.07,      161.21,    2.90e+02,0,12.663284063339233
20,388,      174.00,       17.44,      161.21,    3.26e+02,0,11.878461122512817
21,378,      165.81,       14.30,      161.21,    3.09e+02,0,10.168686628341675
22,391,      167.19,       54.97,      158.61,    1.32e+03,0,10.529810190200806
23,380,      163.85,       14.25,      158.50,    2.81e+02,0,13.097509622573853
24,377,      163.15,       14.22,      158.50,    3.53e+02,0,10.434091806411743
25,341,      163.39,       16.63,      158.50,    3.60e+02,0,11.674506187438965
26,383,      164.76,       54.19,      158.50,    1.32e+03,0,12.231097936630249
27,349,      160.09,       11.75,      158.44,    3.29e+02,0,11.82707166671753
28,378,      161.01,       15.95,      158.44,    3.13e+02,0,13.276779413223267
29,383,      160.00,       10.72,      158.44,    2.73e+02,0,12.896174907684326
30,378,      160.53,       12.29,      158.44,    2.79e+02,0,13.648292541503906
31,367,      160.37,       12.60,      157.83,    3.35e+02,0,16.55865740776062
