gen,nevals,avg,std,min,max,dead,time
0,3500,4692169.894534208,6416992.265406792,20130.50431008926,44801127.36799796,0,168.7318980693817
1,2707,1762071.2865536439,1362008.4596181966,20130.50431008926,20021175.36662444,0,132.27413654327393
2,2759,1125635.2872643864,1754334.4182657267,20130.50431008926,28466204.87857927,0,135.43645977973938
3,2761,818163.8772440552,2599897.0753314774,20130.50431008926,27968899.719819956,0,133.35911297798157
4,2689,616888.1756350778,2180782.1050176374,20130.50431008926,26568935.318938058,0,126.7120099067688
5,2673,604234.43152872,2059531.058754102,20130.50431008926,24894136.703984402,0,127.14627695083618
6,2712,558943.104790099,1850903.1254052,20130.50431008926,26411696.39980378,0,126.87844061851501
