gen,nevals,avg,std,min,max,dead,time
0,500,      312.68,       25.87,      220.98,    3.96e+02,0,6.574171304702759
1,389,      321.99,      172.21,      220.98,    1.32e+03,0,4.989240646362305
2,379,      302.87,      168.79,      220.98,    1.32e+03,0,5.117629766464233
3,374,      272.41,      121.78,      220.98,    1.32e+03,0,5.237607717514038
4,386,      254.34,      115.80,      220.98,    1.32e+03,0,5.641490697860718
5,407,      241.40,      112.78,      213.04,    1.32e+03,0,6.087313175201416
6,344,      251.41,      161.33,      213.04,    1.37e+03,0,5.121743679046631
7,387,      251.07,      165.43,      204.86,    1.23e+03,0,6.847559928894043
8,372,      281.82,      235.06,      191.76,    1.34e+03,0,4.798007488250732
9,381,      292.51,      259.40,      191.76,    1.35e+03,0,5.990105628967285
10,367,      273.92,      230.83,      191.76,    1.35e+03,0,5.040109872817993
11,372,      255.08,      198.09,      190.38,    1.35e+03,0,5.016923666000366
12,384,      280.25,      261.90,      190.38,    1.35e+03,0,5.894399166107178
