gen,nevals,avg,std,min,max,dead,time
0,500,    14511.89,   101053.65,      201.51,    1.00e+06,0,6.865450620651245
1,395,     1316.95,    22331.95,      201.51,    5.00e+05,0,5.178108215332031
2,395,      294.73,      157.80,      201.51,    1.32e+03,0,5.157996416091919
3,379,     2270.48,    44664.72,      201.51,    1.00e+06,0,5.164191484451294
4,374,      255.92,      153.08,      199.34,    1.32e+03,0,5.612349271774292
5,367,     2226.19,    44666.60,      169.62,    1.00e+06,0,5.555383682250977
6,374,      213.66,       65.74,      181.73,    1.25e+03,0,6.941581964492798
7,392,      806.16,    13400.72,      181.73,    3.00e+05,0,5.97157096862793
8,378,      803.92,    13401.00,      181.73,    3.00e+05,0,5.494280576705933
9,386,      200.40,       11.78,      181.73,    3.43e+02,0,7.0286054611206055
10,350,     3396.10,    52045.02,      181.73,    1.00e+06,0,5.653554439544678
11,369,     1790.21,    35734.39,      181.73,    8.00e+05,0,6.419497489929199
12,404,     1383.52,    26801.11,      181.73,    6.00e+05,0,6.793829441070557
13,387,      182.68,        9.49,      181.56,    3.22e+02,0,6.044095039367676
14,381,     3386.21,    45486.87,      181.46,    8.00e+05,0,6.891420125961304
15,378,     1385.38,    26801.08,      181.46,    6.00e+05,0,5.833449363708496
16,387,    2.00e+09,    4.47e+10,      181.46,    1.00e+12,1,7.110870599746704
17,382,     1382.43,    26802.39,      181.46,    6.00e+05,0,5.884044647216797
18,379,      982.61,    17867.50,      181.30,    4.00e+05,0,6.690747261047363
19,367,      184.09,       50.80,      177.44,    1.32e+03,0,6.385530710220337
20,374,     4381.94,    58660.96,      177.44,    1.00e+06,0,6.832881927490234
21,386,     2382.63,    44882.44,      177.44,    1.00e+06,0,8.697785139083862
22,389,     1981.91,    40201.59,      177.44,    9.00e+05,0,8.593226909637451
23,396,      381.84,     4466.83,      177.44,    1.00e+05,0,8.137374639511108
24,369,     1780.48,    35735.81,      177.44,    8.00e+05,0,8.023174285888672
25,402,      180.05,        8.17,      177.44,    3.04e+02,0,8.031598567962646
26,389,      179.00,        7.69,      175.71,    2.81e+02,0,8.591191053390503
27,410,     4181.39,    63107.46,      175.71,    1.00e+06,0,8.102443933486938
28,378,      183.36,       72.86,      175.71,    1.32e+03,0,8.465036153793335
29,385,     2182.40,    44668.51,      175.71,    1.00e+06,0,7.688593864440918
30,376,     2177.76,    44668.66,      175.32,    1.00e+06,0,8.735860347747803
31,397,      177.55,        7.47,      174.26,    3.05e+02,0,8.834986209869385
32,369,      179.69,       52.06,      174.26,    1.32e+03,0,8.64295220375061
33,390,      176.33,        8.37,      174.26,    3.59e+02,0,10.262400150299072
34,380,      175.95,        3.28,      174.22,    2.24e+02,0,11.647125720977783
35,382,      178.63,       51.94,      174.22,    1.32e+03,0,10.456942319869995
36,374,      175.58,        3.60,      170.81,    2.26e+02,0,10.576159477233887
37,395,     2574.94,    37867.38,      170.81,    6.00e+05,0,10.857423067092896
38,369,     1374.64,    26802.57,      170.81,    6.00e+05,0,9.852416515350342
39,395,     7373.83,    76590.47,      170.81,    1.00e+06,0,10.941134452819824
40,382,     7573.91,    78759.55,      170.81,    1.00e+06,0,12.64726996421814
