gen,nevals,avg,std,min,max,dead,time
0,3500,460081.6525668293,16245578.942981036,97.74550471394743,816666866.4310234,0,26.876161098480225
1,2656,912.3776243136268,9845.322987002324,97.74550471394743,294898.49112291104,0,19.642619371414185
2,2799,816.3054158516677,7941.038911911287,97.74258952265662,178895.66493411042,0,21.81431794166565
3,2714,464.448245593167,3880.706308047596,97.74258952265662,122679.49872214021,0,21.332099199295044
4,2747,271.68072584018364,395.5224906353821,97.74258952265662,5471.317554058014,0,21.834273099899292
5,2706,387.05810002970003,4056.8615166513428,97.74258952265662,160599.0948575354,0,20.427067756652832
6,2724,314.38573452506535,2288.8787125349572,97.73947430215664,97662.9320275337,0,20.500624418258667
7,2750,271.1858776141865,377.6153735848679,97.73810289335356,1630.5825800800794,0,22.25475525856018
8,2700,294.251408263203,536.5856497983116,97.73810289335356,17647.564257832517,0,20.100048065185547
9,2710,301.50308313589954,409.36635454289376,97.73810289335356,1918.936048609022,0,21.6464421749115
10,2700,336.83556662518225,515.7118967205446,97.73776079618908,9504.153218859008,0,21.225037813186646
11,2641,333.97093237366767,742.2893149794654,97.73776079618908,27009.220620370666,0,20.308714151382446
12,2774,432.22238670500786,2368.544470643196,97.73776079618908,102639.426848707,0,21.921995639801025
13,2651,352.8687791989786,512.4462751467015,97.73776079618908,8503.771352801064,0,20.7476704120636
14,2706,394.32618725658915,2197.0799418457973,97.73504709950845,126870.80013201262,0,21.272443294525146
15,2708,368.81384959887384,683.7380953355442,97.73504709950845,27491.09428627328,0,21.006336450576782
16,2741,347.3287912319679,544.729655333164,97.73504709950845,14745.40775025418,0,21.474498510360718
17,2715,346.49401122505697,481.67812903281333,97.73504709950845,6679.289141366077,0,20.65597701072693
18,2730,335.43684744616166,490.78860069561586,97.73504696695882,6679.306505000736,0,20.154342889785767
19,2712,352.21448261878515,501.1380816604486,97.73504696695882,6679.293908153363,0,20.15106225013733
20,2735,345.6785051983409,498.34886307564386,97.73504696695882,7704.564935238585,0,20.740291833877563
21,2742,340.3826824119185,465.9312558477559,97.73333262244897,4497.334165948117,0,20.636303901672363
22,2706,369.84056990482037,1256.7380516548417,97.73333262244897,68047.93394279128,0,21.10456395149231
23,2732,385.0103610891322,2445.8591746496536,97.73333262244897,101898.80403615595,0,20.974281549453735
