gen,nevals,avg,std,min,max,dead,time
0,3500,285813.3380438281,16900668.521095257,87.82418036957581,1000000000.0,1,20.628031969070435
1,2676,202.83223584060897,310.2734364731342,87.82418036957581,1103.47250452439,0,16.925126552581787
2,2700,202.07983423085685,313.9642935850426,87.82418036957581,1107.018107337753,0,17.55069327354431
3,2702,199.6178600512956,313.5440934447935,87.82418036957581,1103.2894182513157,0,17.68318486213684
4,2701,201.77548698737152,316.6487767250398,87.78796044339737,1103.4448902845384,0,17.8089599609375
5,2746,205.6511794612717,321.65957533315463,87.78796044339737,1107.018107337753,0,17.48159670829773
6,2691,204.26286921311592,320.1145495735611,87.78796044339737,1103.4448902845384,0,17.230968236923218
7,2738,216.08210477154586,333.5653559142843,87.78796044339737,1107.018107337753,0,17.25635814666748
8,2691,229.93308751603223,348.5141740261772,87.78796044339737,1107.018107337753,0,17.64372444152832
9,2708,218.2401786691038,336.1017712194243,87.738012714684,1107.018107337753,0,16.76162552833557
10,2681,230.60072697421398,349.1475390868612,87.738012714684,1107.018107337753,0,16.19853687286377
11,2703,236.49231075187015,355.0202698740794,87.70712357014418,1107.018107337753,0,16.991485357284546
12,2766,247.96674333774206,366.2528372174194,87.68712106396755,1107.018107337753,0,17.61729598045349
13,2749,263.2700902756136,379.7282583539339,87.66411083936691,1107.018107337753,0,17.746180057525635
14,2661,271.4264428436258,386.2725224566361,87.66030739545822,1107.018107337753,0,17.842731952667236
15,2670,277.56613761515223,391.6536926108233,87.66030739545822,1107.018107337753,0,17.474083423614502
16,2705,279.0320029515445,392.41710475993585,87.66030739545822,1107.018107337753,0,17.734616994857788
17,2753,282.78711256246,395.29221332981376,87.66030739545822,1107.0278961534302,0,17.505985260009766
18,2724,300.58996795846804,408.8149843882002,87.66030739545822,1107.018107337753,0,17.90531015396118
19,2702,283.7399801092707,395.8244411663644,87.66030739545822,1107.018107337753,0,16.79869318008423
20,2694,310.91300927929365,415.43560141944437,87.66030739545822,1107.018107337753,0,16.185139179229736
21,2684,322.5289119893494,422.8812609551459,87.66030739545822,1107.018107337753,0,16.95197606086731
22,2714,309.65386987218,414.27272849452,87.65699499547482,1107.018107337753,0,16.486634016036987
23,2685,288.89654536400354,399.44435623004546,87.65699499547482,1103.2894146164258,0,16.716962337493896
24,2719,279.1398895302179,391.70858873429154,87.65699499547482,1103.4448902845384,0,16.09974455833435
25,2691,288.1239213899013,398.5946902070614,87.63307891339063,1103.2637394060691,0,16.859039545059204
26,2719,289.1502090148115,399.25004237565264,87.63307891339063,1103.2617001434166,0,16.963151454925537
27,2673,303.7658164303152,409.9091221665086,87.63307891339063,1103.2515491565068,0,16.11055850982666
28,2728,304.7557477502906,410.60656356454103,87.63307891339063,1103.2510355959337,0,16.312248468399048
29,2695,306.5578813319467,411.98336929605875,87.63307891339063,1103.4448902845384,0,15.897809743881226
30,2685,298.80458289819063,406.6947606335673,87.63307891339063,1103.2507008800903,0,15.947675704956055
31,2692,305.5124955789288,411.64344539440566,87.63307891339063,1103.2513405799866,0,15.752655267715454
32,2733,324.1580131561357,423.8680859994052,87.63307891339063,1103.2617001434166,0,16.482574462890625
33,2714,319.87379962015456,421.07693989376014,87.63307891339063,1103.258357527852,0,15.77509617805481
34,2696,331.6436257521483,428.3781765212921,87.63307891339063,1103.2515088746945,0,15.84803819656372
35,2695,349.76343762648565,439.12686364731525,87.63307891339063,1103.251052737236,0,15.723002910614014
36,2653,328.83876480458446,426.77151096306164,87.63307891339063,1103.2515088746945,0,15.545314311981201
37,2699,326.14113754784927,425.22184269206616,87.63307891339063,1103.2510355959337,0,15.546009063720703
38,2750,340.64277179881844,433.9721310312856,87.63307891339063,1103.2521044254304,0,15.862314701080322
39,2741,336.6155961906676,431.74659948095155,87.63307891339063,1103.2520992795626,0,16.771871328353882
40,2705,321.77063158315724,422.23191161285547,87.63307891339063,1103.251052737236,0,15.71159315109253
41,2701,310.3408128982579,414.80592254804264,87.63307891339063,1103.251052737236,0,15.32071304321289
42,2726,305.74415427914016,411.387080506873,87.63307891339063,1103.251052737236,0,15.73902702331543
43,2700,314.7998640816828,417.3988895951676,87.63307891339063,1103.251052737236,0,15.879213094711304
44,2704,296.71411483117527,404.8583410472263,87.63307891339063,1103.2511554876962,0,16.151569843292236
45,2707,301.28277369506924,408.29091658414063,87.63118102798859,1103.2521044254304,0,16.18590474128723
46,2700,312.5778223483944,416.1371152341987,87.63118102798859,1103.251052737236,0,16.059688806533813
47,2681,311.05622980326166,415.4160283488811,87.63118102798859,1103.2515491565068,0,16.20834755897522
48,2688,324.62765537705525,424.3478513422656,87.63118102798859,1103.251052737236,0,17.18974733352661
49,2753,324.0882310505845,423.79100466760764,87.63118102798859,1103.251052737236,0,16.49265766143799
50,2680,326.3986196329133,425.2901298603756,87.63118102798859,1103.2511554876962,0,16.215205907821655
51,2689,344.87985831835107,436.6017131850735,87.63118102798859,1103.2617421170075,0,17.54282236099243
52,2730,357.50918078022124,443.3515331041053,87.63118102798859,1103.2521044254304,0,17.011760234832764
53,2696,354.959728112865,441.9309674214587,87.63118102798859,1103.2520992795626,0,16.39845108985901
