gen,nevals,avg,std,min,max,dead,time
0,3500,1036327.5485311734,29704601.867158026,97.75158074384441,983333335.8291668,2,26.9287109375
1,2699,1280.1609372487476,11179.37149382966,97.75158074384441,214745.42108370204,0,19.44221329689026
2,2710,714.1244547756679,6804.652363594388,97.74997452183217,127498.41231867227,0,19.858715295791626
3,2749,757.535437712377,9135.466489526714,97.74550471394743,231505.66170386403,0,21.634979963302612
4,2764,552.7120039668931,5214.680805478835,97.74550471394743,129430.03934483336,0,23.28592562675476
5,2707,447.6997276459003,4415.94436593761,97.74501923070751,156582.63634775236,0,21.953800439834595
6,2750,262.7964717155347,373.1534301582635,97.73946588269173,4265.673333039333,0,21.431781768798828
7,2716,270.9555439097128,380.1428711324844,97.73946588269173,2696.5079889603635,0,20.094098806381226
8,2728,302.07390967676,438.5077286047506,97.73946588269173,11110.390480044904,0,21.372653245925903
9,2667,357.05115729112197,2218.117594213102,97.73946588269173,126487.07967608134,0,19.546735048294067
10,2671,320.4094184976169,418.3996182019364,97.73946588269173,3652.12003027561,0,20.018484592437744
11,2752,323.1937589195539,411.54406989326145,97.73946588269173,1991.7072746170165,0,21.002883434295654
12,2716,315.0343577862141,405.6557677142822,97.73946588269173,1816.5795063736882,0,20.50005006790161
13,2708,331.32836452553437,524.7910946739783,97.73946588269173,14168.994567811693,0,19.95543360710144
14,2706,320.41875387177026,408.43370660104114,97.73776079618908,1804.8213528963884,0,21.2828049659729
15,2715,312.16885225838155,407.78615251004885,97.73775153818191,4012.862099972808,0,20.560516834259033
16,2698,320.25470196560224,417.9717769609829,97.73775153818191,4846.430791978631,0,19.98660159111023
17,2687,306.90953737071703,396.34703106589046,97.73775153818191,1682.0410935668733,0,20.631277322769165
18,2720,303.92408364204556,397.6237704961912,97.73775153818191,1797.424333946542,0,20.881436347961426
19,2700,321.6138992262657,411.43108029132344,97.73775153818191,1802.8188634335684,0,20.04944157600403
20,2698,299.60482523846315,397.3330488370768,97.73775153818191,1799.6049872805736,0,20.253920316696167
21,2640,298.0218674437242,394.75980875520656,97.73775153818191,1917.8660416597245,0,19.310659885406494
22,2733,327.55071010612346,411.1405482663082,97.73775153818191,1896.967094844022,0,19.995163202285767
23,2748,341.89406969500146,667.5798257490492,97.73775153818191,29152.912372624654,0,20.969043254852295
24,2719,317.2960730238662,405.271159745521,97.73775153818191,1827.5500420595918,0,20.099196910858154
25,2677,326.6073589672998,412.42101123669164,97.73775153818191,1853.3227242377664,0,20.401253938674927
26,2733,355.82494391848445,430.4535904511743,97.73775153818191,3120.023913431412,0,20.384788274765015
27,2736,343.2776042172616,416.56713522384825,97.73775153818191,1805.688974093191,0,19.78835153579712
28,2692,381.2362475081146,1193.5157156325633,97.73775153818191,61792.38080235109,0,19.5366792678833
29,2764,369.6712451831508,506.65242714643307,97.73775153818191,11110.541637965627,0,20.074513912200928
30,2714,375.7351570370904,438.7542916174703,97.73775153818191,1797.553606027525,0,19.691899061203003
31,2682,357.40218400501925,431.1573512425394,97.73775153818191,1815.7178392313,0,18.982252836227417
32,2762,348.0355821381003,424.58555830033646,97.73775153818191,1786.6762164784147,0,19.211620807647705
33,2682,348.4047468365942,422.473858286849,97.73775153818191,1799.7140173148196,0,19.090726375579834
34,2710,359.72461365485856,430.21584251691087,97.73775153818191,1800.7368176231216,0,19.230589866638184
35,2725,361.4779395699348,629.070855668687,97.73775153818191,27517.129048540293,0,18.910771131515503
36,2728,358.05043326151997,432.62748649566436,97.73775153818191,1794.8977451764936,0,18.6996169090271
37,2701,472.71395450590234,4139.346641611128,97.73775153818191,206439.04415017928,0,19.05815815925598
38,2732,358.29607891138204,435.60793717848566,97.73775153818191,1806.534624826461,0,19.190703868865967
39,2700,362.2521790144688,434.84357925725175,97.73775153818191,1806.5983303930338,0,19.168567180633545
40,2680,348.176869798273,425.12052735957275,97.73775153818191,1862.4991046690432,0,18.83345937728882
41,2705,362.07910406399947,437.0750330981908,97.73775153818191,1819.699364117489,0,18.664263010025024
42,2707,362.0009715194501,435.3845374234725,97.73775153818191,1798.8817935340785,0,18.59072518348694
43,2708,358.57488997666405,433.50678233988066,97.73775153818191,1804.643947112864,0,19.30735182762146
44,2719,369.9270116001176,586.7309584570199,97.73775153818191,23660.124962060167,0,19.344663619995117
45,2713,448.4682237012291,3232.6287440672418,97.73775153818191,156747.35704548008,0,19.81822419166565
46,2695,368.6238723453475,435.8096975467005,97.73775153818191,1791.6193690888213,0,19.2380313873291
47,2782,393.77696986986496,769.3849481108641,97.73775153818191,34321.01778534505,0,19.012922048568726
48,2702,360.76429941116925,433.019611712504,97.73775153818191,1809.6009991595533,0,19.222118377685547
49,2656,355.632147746398,430.616545275496,97.73775153818191,1803.295186599359,0,19.144785404205322
50,2704,367.8479199146788,438.5901226159577,97.73775153818191,1817.648446388418,0,19.417269468307495
