gen,nevals,avg,std,min,max,dead,time
0,500,      301.07,       26.27,      211.20,    3.94e+02,0,18.982288122177124
1,387,      312.60,      199.37,      211.20,    1.34e+03,0,14.425777435302734
2,398,      269.37,      151.68,      211.20,    1.31e+03,0,15.205950498580933
3,381,      249.37,      148.93,      204.82,    1.36e+03,0,14.914904594421387
4,382,      227.91,      108.61,      204.82,    1.32e+03,0,20.042516469955444
5,389,      224.24,       97.28,      204.35,    1.31e+03,0,19.06955575942993
6,382,      223.82,      117.25,      199.15,    1.33e+03,0,20.557219743728638
7,388,      211.91,       77.16,      198.97,    1.20e+03,0,17.154128789901733
8,375,      208.24,       62.95,      194.15,    1.20e+03,0,16.931843757629395
9,400,      204.25,       45.65,      194.15,    1.20e+03,0,19.694385290145874
10,376,      205.37,       77.66,      194.15,    1.20e+03,0,18.181793212890625
11,417,      199.65,       44.78,      194.15,    1.20e+03,0,20.84974193572998
12,365,      202.42,       78.13,      194.15,    1.20e+03,0,18.441468000411987
13,375,      200.92,       77.76,      194.02,    1.20e+03,0,18.88855266571045
14,385,      196.72,       44.97,      194.02,    1.20e+03,0,19.34379816055298
15,376,      203.12,       93.69,      194.02,    1.26e+03,0,17.56827402114868
16,387,      200.78,       79.35,      194.00,    1.27e+03,0,19.963969230651855
17,378,      200.92,       77.77,      194.00,    1.20e+03,0,18.72886300086975
18,396,      196.39,       44.95,      194.00,    1.20e+03,0,17.795396327972412
19,373,      205.64,      104.93,      193.96,    1.31e+03,0,18.561177968978882
20,395,      202.37,       89.53,      190.60,    1.20e+03,0,19.355653285980225
21,391,      198.74,       63.57,      190.60,    1.20e+03,0,17.511656522750854
22,400,      196.83,       45.46,      190.60,    1.20e+03,0,18.56568741798401
23,356,      195.07,       45.08,      190.60,    1.20e+03,0,16.65145993232727
